N,Np,Nc,tempo_medio,desvio_padrao
1,1,1,5.317249,0
1,1,2,6.407332,0
1,1,4,6.152139,0
1,1,8,6.397358,0
1,2,1,5.284256,0
1,4,1,5.244298,0
1,8,1,5.660672,0
10,1,1,.256705,0
10,1,2,1.024236,0
10,1,4,2.409547,0
10,1,8,2.479384,0
10,2,1,.156426,0
10,4,1,1.524592,0
10,8,1,1.491142,0
100,1,1,.081211,0
100,1,2,.602008,0
100,1,4,2.468134,0
100,1,8,2.483724,0
100,2,1,.134177,0
100,4,1,1.520140,0
100,8,1,1.527053,0
1000,1,1,.073234,0
1000,1,2,.699630,0
1000,1,4,2.474870,0
1000,1,8,2.386092,0
1000,2,1,.126292,0
1000,4,1,1.448721,0
1000,8,1,1.481810,0
